Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
07/19/22,102.20,5603808,4.53,4.64,4.64,102.20,-42.57,99.70,102.71,98.76,-42.57
07/18/22,97.67,7171484,3.01,3.18,3.18,97.67,-45.11,96.78,101.88,95.98,-45.11
07/15/22,94.66,7497187,3.61,3.96,3.96,94.66,-46.81,92.55,95.65,90.66,-46.81
07/14/22,91.05,8334633,-4.59,-4.80,-4.80,91.05,-48.83,94.28,94.58,90.17,-48.83
07/13/22,95.64,6967800,-0.91,-0.94,-0.94,95.64,-46.25,93.75,96.59,91.61,-46.25
07/12/22,96.55,4170185,1.45,1.52,1.52,96.55,-45.74,95.30,97.69,93.32,-45.74
07/11/22,95.10,6043682,-2.25,-2.31,-2.31,95.10,-46.56,96.00,97.09,93.27,-46.56
07/08/22,97.35,5669474,-0.15,-0.15,-0.15,97.35,-45.29,96.23,98.12,93.24,-45.29
07/07/22,97.50,7480538,4.62,4.97,4.97,97.50,-45.21,93.66,97.55,92.16,-45.21
07/06/22,92.88,5702961,-3.06,-3.19,-3.19,92.88,-47.81,95.29,96.17,91.80,-47.81
07/05/22,95.94,7653996,4.53,4.96,4.96,95.94,-46.09,88.88,96.01,86.75,-46.09
07/01/22,91.41,5995434,2.33,2.62,2.62,91.41,-48.63,89.09,91.46,87.43,-48.63
06/30/22,89.08,9007783,-4.85,-5.16,-5.16,89.08,-49.94,92.49,92.91,86.71,-49.94
06/29/22,93.93,6522572,-3.60,-3.69,-3.69,93.93,-47.22,96.83,97.00,92.05,-47.22
06/28/22,97.53,7747662,-3.97,-3.91,-3.91,97.53,-45.19,103.34,105.45,97.09,-45.19
06/27/22,101.50,7352143,-2.01,-1.94,-1.94,101.50,-42.96,103.96,104.17,99.33,-42.96
06/24/22,103.51,28797400,7.79,8.14,8.14,103.51,-41.83,97.52,104.18,96.33,-41.83
06/23/22,95.72,12340820,-3.81,-3.83,-3.83,95.72,-46.21,100.00,100.80,93.02,-46.21
06/22/22,99.53,8986027,-2.74,-2.68,-2.68,99.53,-44.07,99.00,102.50,98.72,-44.07
06/21/22,102.27,6532713,2.78,2.79,2.79,102.27,-42.53,102.69,104.89,101.62,-42.53
06/17/22,99.49,11293110,6.23,6.68,6.68,99.49,-44.09,93.53,100.61,93.53,-44.09
06/16/22,93.26,9435656,-8.21,-8.09,-8.09,93.26,-47.59,96.19,97.50,92.09,-47.59
06/15/22,101.47,6260439,2.60,2.63,2.63,101.47,-42.98,100.02,103.65,98.92,-42.98
06/14/22,98.87,5915344,-0.06,-0.06,-0.06,98.87,-44.44,99.54,101.35,97.20,-44.44
06/13/22,98.93,9587311,-9.98,-9.16,-9.16,98.93,-44.41,102.85,105.33,98.36,-44.41
06/10/22,108.91,6941056,-6.81,-5.88,-5.88,108.91,-38.80,111.80,115.13,108.32,-38.80
06/09/22,115.72,5315873,-8.05,-6.50,-6.50,115.72,-34.97,122.31,122.98,115.42,-34.97
06/08/22,123.77,3775619,0.87,0.71,0.71,123.77,-30.45,121.43,125.51,121.23,-30.45
06/07/22,122.90,3331236,0.88,0.72,0.72,122.90,-30.94,119.76,123.91,119.12,-30.94
06/06/22,122.02,4160239,2.19,1.83,1.83,122.02,-31.43,123.33,124.18,119.92,-31.43
06/03/22,119.83,4584611,-1.43,-1.18,-1.18,119.83,-32.66,118.07,121.50,117.56,-32.66
06/02/22,121.26,5177244,4.54,3.89,3.89,121.26,-31.86,117.13,123.00,116.27,-31.86
06/01/22,116.72,6879606,-4.15,-3.43,-3.43,116.72,-34.41,121.05,121.07,114.40,-34.41
05/31/22,120.87,9117555,0.37,0.31,0.31,120.87,-32.08,120.50,122.30,117.16,-32.08
05/27/22,120.50,7391500,6.20,5.42,5.42,120.50,-32.28,116.00,120.70,115.77,-32.28
