Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
07/06/23,143.21,9714100,-1.43,-0.99,-0.99,152.85,-0.81,143.02,143.39,141.44,-7.06
07/05/23,144.64,8935519,-1.97,-1.34,-0.66,154.38,0.18,144.94,145.43,144.36,-6.13
07/03/23,146.61,8021622,1.17,0.80,0.80,155.40,0.85,146.19,147.48,146.00,-4.85
06/30/23,145.44,14212820,2.01,1.40,1.40,154.16,0.05,144.60,146.00,143.66,-5.61
06/29/23,143.43,15423230,4.84,3.49,3.49,152.03,-1.34,140.07,143.56,139.85,-6.92
06/28/23,138.59,7558644,-0.61,-0.44,-0.44,146.90,-4.66,139.16,139.21,137.96,-10.06
06/27/23,139.20,8154024,0.01,0.01,0.01,147.55,-4.25,139.00,139.84,138.54,-9.66
06/26/23,139.19,8429727,0.34,0.24,0.24,147.54,-4.25,138.87,140.01,137.69,-9.67
06/23/23,138.85,9919539,-0.73,-0.52,-0.52,147.18,-4.49,138.54,139.18,137.62,-9.89
06/22/23,139.58,10076330,-2.74,-1.93,-1.93,147.95,-3.98,142.31,142.60,138.95,-9.42
06/21/23,142.32,9926459,-0.21,-0.15,-0.15,150.86,-2.10,142.90,144.02,141.69,-7.64
06/20/23,142.53,8431008,-0.73,-0.51,-0.51,151.08,-1.95,142.61,143.00,141.04,-7.50
06/16/23,143.26,13813510,0.17,0.12,0.12,151.85,-1.45,143.05,143.97,142.50,-7.03
06/15/23,143.09,9343096,1.60,1.13,1.13,151.67,-1.57,140.59,143.40,140.03,-7.14
06/14/23,141.49,9068729,-0.53,-0.37,-0.37,149.98,-2.67,143.00,143.61,140.70,-8.18
06/13/23,142.02,7701567,1.02,0.72,0.72,150.54,-2.31,140.48,142.87,140.14,-7.83
06/12/23,141.00,7600196,-0.01,-0.01,-0.01,149.46,-3.01,141.07,141.32,139.76,-8.50
06/09/23,141.01,7253946,0.28,0.20,0.20,149.47,-3.00,140.35,141.80,140.21,-8.49
06/08/23,140.73,7370043,0.04,0.03,0.03,149.17,-3.19,140.67,140.89,139.48,-8.67
06/07/23,140.69,9281389,1.35,0.97,0.97,149.13,-3.22,139.55,141.27,138.83,-8.70
06/06/23,139.34,9329541,0.25,0.18,0.18,147.70,-4.15,138.68,140.10,138.21,-9.57
06/05/23,139.09,9685780,-1.38,-0.98,-0.98,147.43,-4.32,140.11,140.34,138.13,-9.73
06/02/23,140.47,12922470,2.89,2.10,2.10,148.89,-3.37,139.56,141.48,139.34,-8.84
06/01/23,137.58,12248090,1.87,1.38,1.38,145.83,-5.36,136.52,138.23,135.45,-10.71
05/31/23,135.71,14219910,-1.75,-1.27,-1.27,143.85,-6.65,136.73,136.84,134.40,-11.93
