Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
01/04/24,102.32,19395150,-0.90,-0.87,-0.87,114.84,106.14,104.08,104.57,102.05,83.67
01/03/24,103.22,23490780,0.86,0.84,0.84,115.85,107.95,102.27,103.62,101.66,85.28
01/02/24,102.36,23483050,2.38,2.38,2.38,114.89,106.22,100.92,103.10,100.85,83.74
12/29/23,99.98,17746410,-0.21,-0.21,-0.21,112.21,101.43,100.37,100.59,99.62,79.47
12/28/23,100.19,16329250,-1.47,-1.45,-1.45,112.45,101.85,101.39,101.61,100.13,79.84
12/27/23,101.66,14558830,-0.48,-0.47,-0.47,114.10,104.81,102.04,102.55,101.34,82.48
12/26/23,102.14,16835140,0.23,0.23,0.23,114.64,105.78,102.74,103.03,102.12,83.34
12/22/23,101.91,12927830,0.18,0.18,0.18,114.38,105.31,102.31,102.94,101.82,82.93
12/21/23,101.73,19250930,0.46,0.45,0.45,114.18,104.95,101.47,102.01,100.81,82.61
12/20/23,101.27,20988860,-1.72,-1.67,-1.67,113.66,104.02,103.50,103.94,101.13,81.78
12/19/23,102.99,18904660,1.34,1.32,1.32,115.59,107.49,102.00,103.19,101.79,84.87
12/18/23,101.65,21610430,0.75,0.74,0.74,114.09,104.79,102.13,103.11,101.52,82.46
12/15/23,100.90,55527020,-0.68,-0.67,-0.67,113.25,103.28,100.59,101.00,100.31,81.12
12/14/23,101.58,26165650,2.66,2.69,2.69,114.01,104.65,99.85,102.14,99.72,82.34
12/13/23,98.92,19915440,0.87,0.89,0.89,111.02,99.29,98.04,99.03,97.66,77.56
12/12/23,98.05,26083960,-1.57,-1.58,-1.58,110.05,97.54,98.68,98.68,97.48,76.00
12/11/23,99.62,22252250,0.07,0.07,0.07,111.81,100.70,99.80,99.86,98.58,78.82
12/08/23,99.55,22074950,1.13,1.15,1.15,111.73,100.56,99.02,99.79,98.75,78.69
12/07/23,98.42,29990730,-0.69,-0.70,-0.70,110.46,98.28,99.86,100.84,98.09,76.66
12/06/23,99.11,31154790,-1.33,-1.32,-1.32,111.24,99.67,100.00,100.72,98.34,77.90
12/05/23,100.44,22250250,-1.99,-1.94,-1.94,112.73,102.35,102.27,102.34,100.29,80.29
12/04/23,102.43,21523940,-0.56,-0.54,-0.54,114.96,106.36,102.13,103.36,101.59,83.86
12/01/23,102.99,17845280,0.25,0.24,0.24,115.59,107.49,102.50,104.22,102.22,84.87
11/30/23,102.74,29254690,0.40,0.39,0.39,115.31,106.99,103.11,104.48,101.81,84.42
11/29/23,102.34,26802090,-1.56,-1.50,-1.50,114.86,106.18,104.27,104.58,101.64,83.70
11/28/23,103.90,20629510,-0.06,-0.06,-0.06,116.61,109.32,104.24,104.91,103.88,86.50
11/27/23,103.96,18013520,-0.61,-0.58,-0.58,116.68,109.44,104.10,104.40,103.18,86.61
11/24/23,104.57,9480768,0.56,0.54,0.54,117.37,110.67,104.02,105.47,103.91,87.70
11/22/23,104.01,18073240,-0.45,-0.43,-0.43,116.74,109.54,102.58,104.12,101.94,86.70
11/21/23,104.46,14988980,-0.04,-0.04,-0.04,117.24,110.45,104.21,104.70,103.22,87.51
11/20/23,104.50,17464020,-0.46,-0.44,-0.44,117.29,110.53,105.38,105.88,104.43,87.58
11/17/23,104.96,22991820,2.50,2.44,2.44,117.80,111.46,103.06,105.43,102.75,88.40
11/16/23,102.46,22469070,-1.20,-1.16,-1.16,115.00,106.42,102.90,103.27,101.15,83.92
11/15/23,103.66,20137560,-0.63,-0.60,-0.60,116.34,108.84,103.96,105.15,103.50,86.07
